open_time,open,high,low,close,volume
2025-07-16 15:00:00,119056.81,119794.8,118328.48,119095.76,2233.63925
2025-07-16 16:00:00,119095.76,119338.12,118471.38,119291.91,671.3025
2025-07-16 17:00:00,119291.91,119700.0,118963.96,119073.35,654.94744
2025-07-16 18:00:00,119073.35,119904.13,118880.27,119512.2,731.25594
2025-07-16 19:00:00,119512.2,119668.72,118822.72,119230.16,819.82836
2025-07-16 20:00:00,119230.16,119933.89,118943.91,119921.96,606.44397
2025-07-16 21:00:00,119921.97,120063.84,119200.0,119297.64,1094.26323
2025-07-16 22:00:00,119297.64,119500.0,118592.22,118639.34,893.9653
2025-07-16 23:00:00,118639.34,118823.5,118420.0,118630.43,343.92435
2025-07-17 00:00:00,118630.44,119158.28,118620.83,118894.33,319.33644
2025-07-17 01:00:00,118894.33,119082.88,117683.53,118149.7,854.33514
2025-07-17 02:00:00,118149.71,118523.25,118017.06,118330.57,607.84399
2025-07-17 03:00:00,118330.58,118356.32,117761.11,118128.8,452.54646
2025-07-17 04:00:00,118128.8,118485.4,117959.33,118485.4,389.33546
2025-07-17 05:00:00,118485.39,118643.59,118225.54,118587.03,364.79579
2025-07-17 06:00:00,118587.03,118772.0,118341.55,118452.51,592.92659
2025-07-17 07:00:00,118452.51,118556.45,117857.03,118311.75,733.57599
2025-07-17 08:00:00,118311.75,118424.28,118082.99,118330.93,416.84953
2025-07-17 09:00:00,118330.93,119192.0,118242.26,118769.34,734.00895
2025-07-17 10:00:00,118769.34,118869.73,118241.24,118340.01,402.69694
2025-07-17 11:00:00,118340.0,118398.82,117974.99,117995.0,488.32774
2025-07-17 12:00:00,117995.0,118183.74,117453.57,117867.08,1041.93489
2025-07-17 13:00:00,117867.08,118446.19,117520.6,118281.99,846.07215
2025-07-17 14:00:00,118281.99,118834.2,118141.47,118770.94,695.28925
2025-07-17 15:00:00,118770.94,119073.46,118334.34,118881.99,592.49854
2025-07-17 16:00:00,118881.99,118954.66,118333.6,118558.61,550.68619
2025-07-17 17:00:00,118558.61,119328.89,118500.0,119261.5,555.62392
2025-07-17 18:00:00,119261.51,119780.67,119211.94,119580.0,689.15184
2025-07-17 19:00:00,119580.0,119880.13,118821.06,118959.66,638.4785
2025-07-17 20:00:00,118959.66,119436.87,118383.97,119436.86,583.39954
